"health_pc" "gdp_pc" "OECD"
"1" 2880 27000 1
"2" 2950 28500 1
"3" 4154.12473503227 33712.1626425069 1
"4" 4099.82300105541 34959.8475422245 1
"5" 2831.35279665749 36129.7887680121 1
"6" 3322.61125611115 36402.504286496 1
"7" 3755.20461444082 38088.5636317544 1
"8" 3175.54990966708 38564.3115933053 1
"9" 4164.09707255311 41409.3913563993 1
"10" 4082.14429173431 41742.2017545905 1
"11" 3978.99779062284 41774.9532025773 1
"12" 3565.64461401043 42174.1604106501 1
"13" 4418.38580297848 43845.5682091881 1
"14" 4868.82631254843 46350.6415835582 1
"15" 5438.54283779424 46429.2944814079 1
"16" 5074.50322160926 47026.4715454541 1
"17" 5509.38390503138 47336.7813481018 1
"18" 4942.65444753602 48382.1173247416 1
"19" 5870 48386.9684017263 1
"20" 9220 54000 1
"21" 6190 56900 1
"22" 6252 66000 1
"23" 26.3359681314607 406.907312141114 0
"24" 36.9471003926894 418.561940836664 0
"25" 16.6038699436192 452.027890418124 0
"26" 55.1929730192587 468.016097097678 0
"27" 39.2217785603283 475.081437886546 0
"28" 22.4492217759126 482.965116341829 0
"29" 23.8542235947907 510.111673354504 0
"30" 32.8472130015545 514.270490286496 0
"31" 27.3899044058555 516.087884386004 0
"32" 30.0146597328034 520.634432743493 0
"33" 28.1617474113655 536.819286136308 0
"34" 23.042195917969 550.801159314162 0
"35" 39.341770795853 563.773273761303 0
"36" 26.0428473784351 597.635246469861 0
"37" 23.6440918221769 602.038425085943 0
"38" 25.806248157223 639.207467545633 0
"39" 30.2303550979042 657.218741413038 0
"40" 13.5861070796814 681.172863615829 0
"41" 51.8369817583099 708.207277732868 0
"42" 30.5896826998643 722.015680634479 0
"43" 27.9305416894025 724.804143228801 0
"44" 36.9293787080958 725.653997342284 0
"45" 51.8420665027338 728.571562274812 0
"46" 47.7239541952734 744.63121457156 0
"47" 62.8202768778843 773.493190146572 0
"48" 77.9281938426143 774.376229429533 0
"49" 28.9834110881493 789.903817962234 0
"50" 41.1177411887989 800.250365863328 0
"51" 49.6222756418851 811.286936531774 0
"52" 47.6775778536019 831.487375705507 0
"53" 57.1068262236536 844.537897899103 0
